"Date","Time","Type","Meal Type","Foods","Drinks","Feeling","Severity","Notes"
"2026-01-07","07:30","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-01-07","12:30","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-07","16:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-01-08","09:00","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-08","13:00","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-08","16:00","Meal","Snack","Briouats (3 pieces)","Mint Tea (1 cup)","","",""
"2026-01-08","20:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-09","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-09","13:30","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-09","20:30","Meal","Dinner","Tangia (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-10","07:30","Meal","Breakfast","Fried Eggs (2 pieces); Khobz (2 slices)","Orange Juice (1 glass)","","",""
"2026-01-10","08:30","Feeling","","","","nauseous","4",""
"2026-01-10","13:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-10","20:30","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-11","08:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-01-11","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-11","20:00","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-01-12","09:00","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-01-12","12:00","Feeling","","","","bloated","2",""
"2026-01-12","13:00","Meal","Lunch","Tuna Sandwich (1 pieces)","Orange Juice (1 glass)","","",""
"2026-01-12","19:30","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-01-13","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-13","12:30","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-01-13","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-14","07:00","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-14","13:00","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-01-15","07:30","Meal","Breakfast","Fried Eggs (2 pieces); Khobz (2 slices)","Orange Juice (1 glass)","","",""
"2026-01-15","14:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-15","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-16","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-16","08:30","Feeling","","","","tired","2",""
"2026-01-16","12:30","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-01-16","21:00","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-18","08:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-01-18","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-18","19:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-01-19","09:00","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-19","13:00","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-19","16:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-01-19","20:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-01-20","08:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-20","14:00","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-20","20:00","Meal","Dinner","Tangia (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-21","08:30","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-01-21","12:30","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-01-22","08:00","Meal","Breakfast","Fried Eggs (2 pieces); Khobz (2 slices)","Orange Juice (1 glass)","","",""
"2026-01-22","14:00","Meal","Lunch","Tuna Sandwich (1 pieces)","Orange Juice (1 glass)","","",""
"2026-01-23","08:00","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-23","13:30","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-01-23","21:00","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-01-24","08:00","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-01-24","13:30","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-24","17:00","Meal","Snack","Chocolate (2 pieces)","Milk (1 glass)","","",""
"2026-01-24","21:00","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-01-25","09:00","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-01-25","11:00","Feeling","","","","bloated","2",""
"2026-01-25","13:00","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-01-25","16:30","Meal","Snack","Briouats (3 pieces)","Mint Tea (1 cup)","","",""
"2026-01-25","20:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-01-26","08:00","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-01-26","12:30","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-26","16:30","Meal","Snack","Briouats (3 pieces)","Mint Tea (1 cup)","","",""
"2026-01-26","20:00","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-27","08:30","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-01-27","13:30","Meal","Lunch","Tuna Sandwich (1 pieces)","Orange Juice (1 glass)","","",""
"2026-01-27","17:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-01-27","20:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-28","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-28","13:30","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-28","21:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-28","23:00","Feeling","","","","anxious","3",""
"2026-01-29","07:00","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-01-29","14:00","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-29","17:00","Meal","Snack","Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-29","20:00","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-30","07:00","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-30","13:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-30","16:30","Meal","Snack","Briouats (3 pieces)","Mint Tea (1 cup)","","",""
"2026-01-30","21:00","Meal","Dinner","Tangia (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-31","08:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-31","14:00","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-31","19:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-02-01","08:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-01","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-02","08:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-02-02","12:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-02","20:00","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-02-03","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-02-03","13:30","Meal","Lunch","Pizza (2 slices)","Soda (1 glass)","","",""
"2026-02-03","20:00","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-02-04","07:00","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-02-04","13:00","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-02-04","21:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-05","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-02-05","14:00","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-05","19:30","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-02-06","08:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-06","09:30","Feeling","","","","bloated","2",""
"2026-02-06","14:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-06","21:00","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-02-07","09:00","Meal","Breakfast","Baghrir (3 pieces)","Mint Tea (1 cup)","","",""
"2026-02-07","12:30","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-02-07","19:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-08","08:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-02-08","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-08","16:30","Meal","Snack","Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-08","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-09","09:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-02-09","13:00","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-10","08:00","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-02-10","10:00","Feeling","","","","bloated","2",""
"2026-02-10","12:30","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-10","20:00","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-02-12","09:00","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-02-12","13:30","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-12","21:00","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-02-13","07:30","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-02-13","12:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-13","16:30","Meal","Snack","Almonds (1 handful)","Water (1 glass)","","",""
"2026-02-13","19:30","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-14","09:00","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-02-14","13:30","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-14","17:00","Meal","Snack","Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-14","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-15","09:00","Meal","Breakfast","Fried Eggs (2 pieces); Khobz (2 slices)","Orange Juice (1 glass)","","",""
"2026-02-15","13:00","Meal","Lunch","Tuna Sandwich (1 pieces)","Orange Juice (1 glass)","","",""
"2026-02-15","20:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-02-16","07:30","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-02-16","14:00","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-02-17","08:30","Meal","Breakfast","Baghrir (3 pieces)","Mint Tea (1 cup)","","",""
"2026-02-17","13:30","Meal","Lunch","Kefta (4 pieces); French Fries (1 plate)","Soda (1 glass)","","",""
"2026-02-17","16:00","Meal","Snack","Almonds (1 handful)","Water (1 glass)","","",""
"2026-02-17","19:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-18","07:30","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-02-18","12:30","Meal","Lunch","Pizza (2 slices)","Soda (1 glass)","","",""
"2026-02-18","16:30","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-02-18","19:30","Meal","Dinner","Tangia (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-20","07:30","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-02-20","12:30","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-21","08:30","Meal","Breakfast","Baghrir (3 pieces)","Mint Tea (1 cup)","","",""
"2026-02-21","13:30","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-21","16:30","Meal","Snack","Almonds (1 handful)","Water (1 glass)","","",""
"2026-02-22","07:30","Meal","Breakfast","Baghrir (3 pieces)","Mint Tea (1 cup)","","",""
"2026-02-22","14:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-22","17:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-02-22","21:00","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-02-23","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-23","13:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-23","21:00","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-02-24","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-24","13:00","Meal","Lunch","Tuna Sandwich (1 pieces)","Orange Juice (1 glass)","","",""
"2026-02-24","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-02-25","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-25","13:30","Meal","Lunch","Grilled Sardines (4 pieces); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-25","17:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-02-25","20:30","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-02-26","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-02-26","13:30","Meal","Lunch","Pizza (2 slices)","Soda (1 glass)","","",""
"2026-02-26","20:30","Meal","Dinner","Couscous (1 plate)","Lben (1 glass)","","",""
"2026-02-27","08:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-02-27","12:30","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-02-27","19:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-02-28","07:00","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-02-28","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-02-28","16:00","Meal","Snack","Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-03-01","08:30","Meal","Breakfast","Baghrir (3 pieces)","Mint Tea (1 cup)","","",""
"2026-03-01","14:00","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-03-01","19:30","Meal","Dinner","Shrimp Tagine (1 plate); Plain Rice (1 bowl)","Water (1 glass)","","",""
"2026-03-02","07:30","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-03-02","14:00","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-03-03","09:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-03-03","14:00","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-03-03","17:00","Meal","Snack","Chocolate (2 pieces)","Milk (1 glass)","","",""
"2026-03-03","20:00","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-03-04","07:30","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-03-04","13:30","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-03-04","20:00","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-03-05","07:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-03-05","13:00","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-03-05","16:30","Meal","Snack","Almonds (1 handful)","Water (1 glass)","","",""
"2026-03-07","09:00","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-03-07","12:00","Feeling","","","","headache","4",""
"2026-03-07","14:00","Meal","Lunch","Rfissa (1 plate)","Lben (1 glass)","","",""
"2026-03-07","22:22","Meal","Snack","Baghrir (3 pieces)","","","",""
"2026-03-07","22:43","Meal","Snack","","","","",""